employee_id,first_name,last_name,date_of_birth,salary,department,employee_status,hire_date,bank_account_number,tax_rate
76,Gaston,McEachern,12/3/1996,75469.92,HR,Part-time,4/5/2017,3769373352,0.33
77,Helen,Toffel,11/18/1968,77275.0,HR,Full-time,6/4/2021,2603029975,0.47
78,Darline,Joyner,8/27/1987,45865.33,Finance,Full-time,8/14/2014,3886300277,0.25
79,Gerry,Halwood,12/11/1989,41960.41,HR,Contractor,10/28/2013,8938468255,0.28
80,Broddy,Demschke,3/21/1988,45458.56,Operations,Contractor,2/6/2015,9637493145,0.36
81,Marshal,Scholte,3/30/1960,59943.37,Finance,Contractor,2/5/2017,6473192146,0.37
82,Seline,Zanni,7/26/1988,98526.53,Finance,Contractor,3/13/2011,2458182565,0.19
83,Brice,Twiddell,9/27/1971,73922.11,Finance,Contractor,9/18/2021,6353299367,0.41
84,Kettie,Dusting,10/3/1993,67058.86,Operations,Part-time,3/11/2010,6396631701,0.44
85,Shalne,Crookshanks,3/31/1960,76548.06,HR,Contractor,1/27/2011,1849149685,0.33
86,Evelin,McVane,2/25/1992,45805.02,IT,Part-time,5/15/2010,2011589601,0.38
87,Rosella,Cawker,5/11/1985,27907.76,IT,Part-time,3/11/2013,4661254464,0.29
88,Tremaine,Bushel,11/13/1962,71295.21,Finance,Full-time,9/22/2015,1045532323,0.12
89,Lizzy,Edmands,12/25/1975,40205.18,HR,Contractor,11/22/2017,5984269622,0.31
90,Charo,Postles,1/19/1965,87088.0,IT,Part-time,4/29/2013,6113278330,0.24
91,Tabatha,Howatt,7/12/1992,55905.82,HR,Part-time,8/26/2020,5416054156,0.35
92,Nicolis,Wantling,7/24/1972,99705.23,Operations,Part-time,5/10/2016,6933293013,0.47
93,Yardley,Larner,12/5/1992,97276.3,HR,Contractor,3/2/2014,6582291679,0.28
94,Carlin,Casaccia,12/26/1989,90032.74,Finance,Contractor,6/22/2011,2709260428,0.46
95,Gigi,M'Quharg,5/26/1980,22913.42,Operations,Contractor,4/24/2011,6432132337,0.16
96,Kym,Martinyuk,12/7/1980,84756.6,Operations,Contractor,3/28/2011,5534910241,0.41
97,Philly,Feathers,4/28/1974,82848.69,IT,Part-time,3/4/2014,1763548570,0.42
98,Forster,Hodgen,5/12/1983,34563.84,HR,Contractor,7/2/2013,8280790230,0.22
99,Trudi,Del Monte,2/25/1965,59589.57,Operations,Contractor,12/21/2018,4368976479,0.46
100,Correy,Schoular,1/31/1978,43634.28,Finance,Contractor,12/5/2013,3609488757,0.16
101,Gayla,Baselli,6/18/1971,43207.58,IT,Contractor,1/30/2019,3042965007,0.18
102,Eleanor,Van den Hof,7/5/1962,26991.32,IT,Full-time,6/17/2014,8791335679,0.46
103,Alfonse,Campaigne,1/6/1992,89000.66,Finance,Part-time,10/1/2011,3384051135,0.46
104,Stirling,Lillegard,5/7/1966,76030.81,Finance,Contractor,5/11/2020,3524324369,0.28
105,Nikolaus,Reston,12/12/1998,24666.5,Operations,Part-time,10/1/2019,7669014338,0.49
106,Esta,Tommeo,10/6/1994,70185.67,Operations,Full-time,1/16/2014,3915661621,0.45
107,Anthia,Escreet,12/29/1973,57445.63,Finance,Full-time,10/16/2017,3006145092,0.12
108,Pedro,Eddisford,8/10/1962,20759.95,Operations,Full-time,8/24/2018,8618236810,0.12
109,Freeland,Huffey,9/30/1963,46563.44,Finance,Part-time,8/12/2011,3778278569,0.34
110,Tildie,Vinton,9/6/1984,50571.29,HR,Contractor,9/8/2016,7122564686,0.34
111,Ingaborg,Asher,9/20/1996,63268.87,Finance,Contractor,11/2/2020,2813805502,0.23
112,Gare,Shelly,4/29/1963,85847.32,HR,Full-time,10/6/2011,2120625683,0.48
113,Filia,Guidera,12/16/1997,64681.89,HR,Full-time,9/3/2021,5263843325,0.39
114,Adan,Ixor,9/28/1968,67280.75,Operations,Contractor,2/13/2011,7004737212,0.22
115,Emelina,Buckett,6/7/1970,32838.54,HR,Part-time,2/2/2019,9078708569,0.18
116,Del,Fateley,1/29/1997,78702.45,HR,Part-time,5/18/2013,4570647016,0.12
117,Oralle,Dibbe,12/22/1969,43751.48,Finance,Part-time,4/29/2018,2370446675,0.33
118,Cosme,Gibberd,10/16/1978,96917.06,HR,Full-time,12/19/2010,3454358876,0.19
119,Jerry,Demschke,5/19/1996,89643.23,HR,Part-time,9/21/2019,5592425944,0.35
120,Chickie,Lavell,9/13/1987,22444.8,Finance,Contractor,4/18/2017,5442281117,0.46
121,Doug,Jakubovski,10/29/1968,77557.68,Operations,Full-time,5/20/2018,1065082204,0.12
122,Archie,Benedick,8/24/1979,86215.1,Finance,Contractor,6/23/2017,6137191652,0.27
123,Andee,Pitherick,1/30/1964,49241.37,Operations,Part-time,9/1/2013,2623355961,0.26
124,Ingaborg,Newson,8/31/1999,26524.43,HR,Contractor,7/20/2013,7111811149,0.13
125,Teddy,Cutbirth,8/4/1998,31963.7,HR,Contractor,6/29/2012,5043826356,0.13
126,Jordan,Danniell,6/20/1976,40094.91,Finance,Part-time,1/7/2018,1875675512,0.28
127,Katrine,Tipler,8/25/1973,81189.35,HR,Part-time,9/11/2011,4996483350,0.46
128,Jory,Purdon,5/22/1999,83302.48,Finance,Full-time,12/14/2019,4218638560,0.43
129,Gwendolin,Trayford,7/29/1969,43108.85,Finance,Full-time,4/6/2015,8924047957,0.35
130,Lauralee,Ransley,8/26/1995,63993.56,HR,Part-time,7/16/2019,6755642259,0.28
131,Elias,Bebis,9/30/1967,56731.58,Finance,Part-time,1/7/2015,9515784938,0.48
132,Ezri,Garner,5/19/1968,73503.01,Operations,Contractor,12/20/2016,6061836288,0.27
133,Shellysheldon,Ferrettini,5/1/1966,26567.36,Operations,Part-time,7/13/2010,2549634530,0.49
134,Stinky,Swyne,3/21/1992,90122.16,Operations,Part-time,3/22/2018,1710499057,0.4
135,Dominga,Archibold,3/26/1966,62756.52,Operations,Contractor,7/11/2012,3729116523,0.13
136,Junie,Antrack,9/23/1961,26690.75,Operations,Part-time,9/11/2014,3823434169,0.27
137,Ginger,Bernhard,3/20/1980,33219.58,Finance,Contractor,9/22/2010,2460569574,0.26
138,Curr,Defrain,2/8/1983,49504.69,Finance,Full-time,4/26/2012,9117648461,0.21
139,Son,Siley,9/17/1981,99705.29,HR,Full-time,4/17/2018,1405495177,0.4
140,Bianca,Deakins,10/4/1970,33246.5,IT,Contractor,7/7/2018,4050198651,0.19
141,Stevana,Makey,3/31/1963,45069.21,IT,Full-time,6/8/2010,3802103082,0.46
142,Torrence,Wheildon,5/11/1983,45419.51,IT,Part-time,8/6/2021,3878725110,0.23
143,Carol-jean,Aldhouse,3/10/1994,65088.77,Operations,Part-time,12/26/2016,1602909411,0.22
144,Loutitia,Dellenbrook,8/13/1976,26776.42,HR,Full-time,7/13/2016,9141651334,0.27
145,Ashly,Lowery,5/11/1990,80172.72,Finance,Full-time,5/3/2021,2823953478,0.48
146,Blondy,Pharrow,8/10/1993,20740.04,Finance,Full-time,12/3/2011,2525573824,0.32
147,Xylia,Bellas,5/27/1976,69137.83,HR,Contractor,8/2/2018,8751505921,0.11
148,Murdoch,Gorring,6/6/1973,34702.43,IT,Contractor,1/1/2018,9978725877,0.24
149,Elga,Fransewich,4/10/1971,69907.84,Operations,Part-time,11/19/2017,7853766844,0.16
150,Stafford,Stilliard,5/16/1985,91165.72,HR,Part-time,2/4/2016,5104396452,0.4
151,Irvine,Chettle,9/9/1984,89821.08,Operations,Contractor,10/31/2010,3374971371,0.4
152,Curtice,Bugbee,3/3/1978,20860.68,HR,Contractor,12/27/2013,6583799374,0.28
153,Renelle,Coxhead,12/17/1988,22798.21,Finance,Part-time,7/15/2017,8718173748,0.46
154,Lorinda,Blagdon,2/7/1991,51460.77,Operations,Full-time,4/21/2016,9805417439,0.27
155,Kelwin,Goford,8/16/1979,68559.47,Finance,Full-time,2/9/2019,4953526025,0.43
156,Cullan,Sate,10/15/1978,46211.64,IT,Part-time,8/7/2016,6347102421,0.17
157,Callean,Domoney,11/27/1977,78573.06,IT,Part-time,12/4/2016,7458095543,0.45
158,Korella,Morphet,7/28/1992,66821.66,Finance,Full-time,5/9/2021,1399091163,0.1
159,Ree,Frow,5/13/1999,73378.07,Finance,Contractor,12/4/2017,9505679522,0.33
160,Elna,Fleetwood,9/17/1965,53823.98,Operations,Full-time,5/10/2021,9658859856,0.22
161,Fredia,Rouch,8/29/1969,33274.35,Finance,Part-time,6/15/2020,2113071879,0.47
162,Lorry,Brickdale,11/21/1960,65234.26,Finance,Full-time,3/29/2012,1624846392,0.34
163,Burnaby,Bantham,2/2/1979,69863.07,Finance,Part-time,11/23/2015,7877252421,0.38
164,Averil,Wantling,7/11/1969,27413.51,Finance,Full-time,5/12/2010,4785129702,0.5
165,Danila,Giorio,3/19/1985,25498.26,Operations,Part-time,4/3/2012,2875776728,0.38
166,Nicol,Readings,12/22/1983,21128.29,Operations,Part-time,2/23/2014,6870400626,0.19
167,Sibel,Mingaye,8/20/1963,51327.97,IT,Contractor,3/8/2017,5213959412,0.32
168,Rozele,Blaxeland,11/15/1962,54381.91,Finance,Part-time,5/3/2010,8162932764,0.45
169,Kale,Sarll,5/13/1973,93505.36,Operations,Part-time,7/25/2014,9508402042,0.5
170,Gerome,Fosdike,8/4/1987,63903.54,HR,Part-time,11/15/2021,6020369185,0.36
171,Ari,Jeannaud,10/4/1981,54712.2,Finance,Contractor,8/14/2016,8502487246,0.45
172,Elsbeth,Dodridge,1/18/1984,56781.74,IT,Full-time,5/25/2015,6431950222,0.36
173,Leah,Klus,10/9/1993,82307.43,IT,Part-time,8/22/2010,7848542176,0.19
174,Bone,Rostern,5/27/1993,32212.59,Finance,Full-time,1/9/2018,2485712117,0.48
175,Carmina,de Quincey,1/28/1981,73973.98,Operations,Part-time,1/19/2012,6157998699,0.49
176,Chrissie,Morecomb,1/2/1976,58501.04,HR,Part-time,4/5/2014,8696285996,0.32
177,Evelyn,Rawne,4/7/1970,37879.24,HR,Contractor,2/17/2013,3466335512,0.11
178,Sebastien,Speck,6/26/1964,41774.8,Operations,Part-time,6/24/2013,3506896033,0.21
179,Perkin,Ritmeyer,7/22/1985,33004.08,Finance,Contractor,12/27/2012,6995780320,0.26
180,Philippine,Yitzhak,8/13/1999,81996.1,Finance,Part-time,3/10/2013,4448352371,0.17
181,Shea,O'Loughane,2/2/1982,91670.27,Operations,Part-time,4/11/2015,3169733499,0.38
182,Dorisa,Abad,8/11/1965,78396.27,Operations,Full-time,10/9/2010,8447519816,0.17
183,Skippie,Oakeby,6/1/1992,47808.09,IT,Full-time,8/17/2020,7756413194,0.14
184,Valentine,Quarton,7/22/1971,98649.88,HR,Part-time,9/26/2015,6765174440,0.12
185,Kimball,Cramb,10/15/1979,38901.59,Finance,Contractor,7/25/2021,3515685616,0.19
186,Porter,Backshill,7/9/1995,22361.08,Finance,Part-time,11/12/2020,7468074400,0.11
187,Dede,Wallworth,12/19/1992,52386.13,IT,Full-time,2/10/2012,7863870119,0.38
188,Thalia,Guerriero,10/9/1964,73632.32,HR,Contractor,6/12/2019,3549719549,0.11
189,Rafferty,Grimolbie,1/24/1985,60566.75,Operations,Contractor,9/28/2015,9306800189,0.49
190,Evyn,Marvelley,4/19/1981,34175.65,Finance,Part-time,2/4/2021,8592073536,0.39
191,Diarmid,Dyball,6/10/1961,57638.07,Finance,Full-time,11/11/2020,3481651528,0.38
192,Genny,Tracy,2/12/1978,40333.4,HR,Contractor,10/9/2016,6513286758,0.11
193,Violette,Maxweell,4/2/1992,85081.71,IT,Part-time,8/29/2010,1941618688,0.45
194,Elka,Reiners,7/4/1992,35361.72,IT,Contractor,1/20/2014,5994733595,0.21
195,Shurwood,Aubrey,5/4/1998,76936.98,IT,Contractor,5/30/2010,9720260331,0.18
196,Joan,Joska,5/11/1989,61846.5,IT,Contractor,11/5/2010,5682032329,0.23
197,Lurleen,Dovydenas,1/18/1963,82973.18,Operations,Contractor,8/12/2015,4018911254,0.19
198,Jeane,Cruse,2/20/1985,92692.61,IT,Part-time,7/8/2021,9440811809,0.35
199,Calida,Gittus,3/13/1985,44262.0,Operations,Full-time,2/1/2011,3982122129,0.3
200,Austin,Ollive,4/28/1970,82559.24,Operations,Full-time,6/12/2017,7954623482,0.39
201,Wood,Morat,6/10/1974,24878.74,IT,Contractor,10/8/2016,7165267002,0.38
202,Alwyn,Angood,1/16/1974,54317.83,IT,Full-time,8/21/2015,4092516826,0.34
203,Malissia,Emms,7/5/1998,82321.02,Operations,Full-time,9/30/2018,3043374307,0.23
204,Cedric,Dive,4/28/1970,90023.93,Operations,Contractor,5/26/2015,3278455587,0.31
205,Johnette,Huddlestone,1/9/1975,42300.18,Operations,Contractor,2/22/2011,8501288719,0.42
206,Dacey,O'Kerin,2/18/1985,24575.82,Operations,Part-time,5/23/2021,3999057911,0.2
207,Sharon,Gaskin,2/5/1992,27876.49,IT,Full-time,11/20/2016,4548252626,0.24
208,Florance,MacDermand,9/15/1964,86774.71,HR,Full-time,5/1/2011,1918320245,0.15
209,Morten,Biggerdike,1/8/1995,86558.61,Operations,Contractor,9/18/2019,9489715880,0.35
210,Padget,Causley,11/19/1992,60367.29,IT,Full-time,5/11/2012,3947508111,0.28
211,Ennis,Dimitrijevic,8/15/1969,60105.08,Operations,Full-time,3/26/2015,5416570554,0.39
212,Sean,Follacaro,7/2/1967,34131.6,Finance,Full-time,8/11/2021,6026591099,0.27
213,Ronna,Gianetti,7/28/1977,86722.84,Finance,Contractor,8/27/2020,4443740998,0.33
214,Dehlia,Yusupov,11/12/1997,45607.71,HR,Part-time,1/19/2015,4557164026,0.32
215,Sindee,Colquyte,7/29/1990,68510.6,IT,Part-time,5/24/2016,1021275245,0.15
216,Benedikta,Inkin,8/13/1973,83138.14,IT,Full-time,3/18/2015,1143740311,0.48
217,Hannie,Haliburton,1/16/1986,21576.26,HR,Part-time,8/28/2019,7796976325,0.26
218,Ashlan,Paice,7/13/1968,62221.92,Finance,Part-time,10/15/2013,8951069605,0.13
219,Lydon,Harring,3/16/1988,58002.07,HR,Part-time,12/6/2020,9266389578,0.38
220,Paddy,Jiggle,4/16/1971,87980.84,IT,Contractor,1/2/2015,7729588291,0.13
221,Victoir,Lipyeat,10/15/1981,43525.76,Finance,Full-time,10/1/2013,2678024204,0.22
222,Russ,Seater,10/7/1973,89597.5,Finance,Full-time,7/30/2020,9269187235,0.33
223,Ashly,Antwis,3/13/1966,89147.09,HR,Part-time,9/13/2019,4019593760,0.42
224,Bradan,O'Neal,10/18/1973,93339.24,IT,Contractor,5/9/2018,3721268463,0.33
225,Moe,Jopp,11/26/1978,41616.93,IT,Full-time,7/11/2018,3806888369,0.45
226,Meagan,Klimkowski,12/1/1976,95894.86,IT,Contractor,9/5/2016,9561447827,0.39
227,Guinevere,Izsak,11/5/1995,31195.47,IT,Part-time,7/27/2016,4573976764,0.4
228,Geneva,Bramont,4/9/1982,31139.55,HR,Part-time,7/24/2017,2528518667,0.41
229,Rooney,Salvage,11/1/1971,69305.5,HR,Part-time,8/2/2016,5973555896,0.33
230,Leela,Allard,6/3/1961,79446.44,Finance,Part-time,6/25/2020,7562257707,0.19
231,Davina,Straun,5/23/1984,72418.09,Operations,Full-time,5/1/2010,8465919635,0.49
232,Willabella,Elsmere,11/11/1966,97907.57,HR,Full-time,3/15/2018,7053240765,0.13
233,Tammi,Juara,11/8/1975,58927.8,HR,Full-time,5/15/2015,9249850356,0.35
234,Deck,Tichner,10/22/1994,38550.6,Finance,Contractor,7/11/2017,7984919833,0.45
235,Hettie,Roderham,7/1/1964,37701.94,HR,Full-time,7/10/2019,1814895854,0.47
236,Shaylyn,Spalding,7/15/1960,34675.71,Finance,Contractor,10/20/2012,9457617716,0.4
237,Zebadiah,Beagin,3/4/1964,94509.3,Operations,Contractor,8/24/2012,8880589295,0.22
238,Shalom,Cadamy,6/19/1988,37266.27,Operations,Part-time,3/17/2021,6734081236,0.43
239,Ariel,Adrain,6/5/1962,65807.06,HR,Part-time,1/10/2020,2287805606,0.26
240,Sergeant,Toft,10/10/1960,98124.8,HR,Part-time,10/10/2018,2709374410,0.35
241,Angil,MacKimm,1/1/1962,50926.95,HR,Full-time,3/11/2019,3366424187,0.33
242,Eadmund,Galgey,1/3/1961,23942.33,Finance,Contractor,2/18/2010,5935722769,0.16
243,Cly,Weavers,5/16/1976,43976.68,IT,Full-time,4/7/2021,2320732670,0.16
244,Abba,Bett,7/24/1968,28619.56,Finance,Contractor,5/15/2016,1487265204,0.2
245,Abramo,Pasticznyk,1/18/1991,59275.8,Finance,Part-time,6/12/2016,1608289912,0.38
246,Gwennie,Skully,9/25/1976,95680.33,HR,Full-time,6/8/2016,4894946533,0.12
247,Lorrie,Winstanley,5/4/1977,57289.72,IT,Full-time,2/17/2017,8581675506,0.15
248,Uta,Ciciotti,3/20/1999,32942.39,HR,Full-time,7/14/2011,4718415997,0.45
249,Kirsteni,Pullman,6/21/1962,81791.16,HR,Contractor,12/15/2011,1543563366,0.13
250,Jami,Ryves,2/13/1984,71527.02,Finance,Part-time,12/27/2012,9818101440,0.48
251,Cristi,Leser,6/9/1971,99256.91,HR,Part-time,7/24/2020,8794432692,0.17
252,Ximenes,Botham,12/28/1998,76855.52,HR,Part-time,2/23/2013,2418496288,0.48
253,Ailis,Larrat,4/20/1974,30636.23,Finance,Contractor,1/7/2012,1280931363,0.28
254,Shalna,Coopland,1/22/1980,79941.04,IT,Contractor,10/13/2012,3190417228,0.15
255,Jocelin,Armer,11/25/1973,61876.81,Operations,Part-time,10/6/2014,7729527763,0.14
256,Stanly,Blakiston,2/26/1979,66605.47,IT,Part-time,11/28/2021,8281646234,0.19
257,Meier,Medland,6/24/1966,71220.16,HR,Contractor,10/13/2016,6681424862,0.14
258,Shea,Ovendale,9/22/1980,34511.21,IT,Part-time,5/3/2014,3422693471,0.45
259,Loni,Bartram,4/21/1972,77229.29,IT,Part-time,5/9/2014,7934911838,0.17
260,Daniel,Stanfield,5/1/1965,46834.41,IT,Full-time,6/9/2014,4305587789,0.48
261,Adlai,Ferrige,4/2/1994,87210.0,IT,Contractor,4/28/2020,2622572211,0.36
262,Clay,Rubinovici,3/10/1996,97301.79,Finance,Part-time,1/24/2018,7643449897,0.14
263,Audie,Steinham,5/13/1992,59628.41,Operations,Contractor,9/23/2017,8955688311,0.46
264,Inge,Dundredge,4/18/1962,40096.32,Finance,Part-time,3/26/2017,4962449916,0.36
265,Tamqrah,Ashbe,3/7/1967,59955.56,IT,Contractor,11/29/2014,3952911098,0.14
266,Ilysa,Clinning,3/28/1975,48545.21,IT,Full-time,11/9/2014,6419314745,0.26
267,Vanda,Milvarnie,8/21/1966,27991.43,IT,Part-time,12/6/2011,2686372109,0.38
268,Norah,Hobble,9/16/1976,88582.14,Operations,Part-time,10/15/2010,4331993050,0.2
269,Consuelo,Malinson,11/23/1980,27094.35,HR,Contractor,10/8/2012,9561324679,0.26
270,Marcelia,Chorley,1/17/1975,97102.54,HR,Part-time,9/12/2019,7985227375,0.33
271,Paton,Gilluley,12/27/1963,87796.3,IT,Full-time,4/30/2015,9295969501,0.37
272,Cordy,Daintier,10/9/1994,60772.37,Finance,Contractor,6/5/2021,6497266808,0.34
273,Rice,Bielefeld,1/11/1995,73523.15,Operations,Full-time,11/20/2021,1363148861,0.27
274,Meade,McCusker,12/5/1986,78668.61,IT,Full-time,6/21/2015,5931223566,0.42
275,Hayley,Sollime,12/30/1997,86927.35,IT,Part-time,7/29/2014,4477477355,0.23
276,Giana,Foat,6/28/1979,54588.73,Finance,Part-time,10/8/2011,3376860546,0.37
277,Erhart,Remer,1/12/1981,56448.8,Operations,Part-time,5/17/2010,1257966305,0.39
278,Babbie,Ahern,11/9/1984,62203.06,HR,Part-time,4/18/2019,3703578373,0.31
279,Davey,Cormode,12/30/1992,75052.38,IT,Contractor,11/19/2021,2887066999,0.11
280,Quint,Harral,10/9/1998,98772.42,HR,Part-time,1/11/2017,5623212774,0.43
281,Florella,Lindmark,10/15/1991,30223.5,HR,Contractor,8/12/2016,8058819008,0.43
282,Correy,Galton,7/14/1965,86807.58,Operations,Part-time,9/2/2015,2278377864,0.46
283,Barbie,Armitage,8/8/1969,82287.4,IT,Part-time,7/29/2018,9857055917,0.12
284,Charita,Amsden,2/24/1999,37054.4,Operations,Part-time,12/6/2010,9353377105,0.13
285,Octavius,Strickler,1/17/1991,20854.96,HR,Full-time,8/9/2012,2666751559,0.27
